Timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,stabilizer.pitch,stabilizer.roll
182106,0,0,0,0,2.0497701168060303,-5.912064075469971
182116,0,0,0,0,1.9685637950897217,-5.909204483032227
182126,0,0,0,0,1.4155367612838745,-5.224116325378418
182136,0,0,0,0,0.7165406942367554,-4.27382755279541
182146,0,0,0,0,-0.9552155137062073,-2.70560359954834
182156,0,0,0,0,-1.1361961364746094,-1.6725118160247803
182166,0,0,0,0,-1.252463698387146,-1.2622616291046143
182176,0,0,0,0,-1.3893753290176392,-0.8554521799087524
182186,0,0,0,0,-1.3051344156265259,-0.20016515254974365
182196,0,0,0,0,-1.3549220561981201,0.20329664647579193
182206,0,0,0,0,-1.426646113395691,0.6736811995506287
182216,0,0,0,0,-1.3929510116577148,0.6902378797531128
182226,0,0,0,0,-1.3444088697433472,0.6752115488052368
182236,0,0,0,0,-1.3921127319335938,0.7223837971687317
182246,0,0,0,0,-1.3544142246246338,0.6775063276290894
182256,0,0,0,0,-1.3524658679962158,0.6721683740615845
182266,0,0,0,0,-1.3881927728652954,0.7171375751495361
182276,0,0,0,0,-1.346098780632019,0.6803470849990845
182286,0,0,0,0,-1.3489028215408325,0.6714906692504883
182296,0,0,0,0,-1.3514797687530518,0.6696945428848267
182306,0,0,0,0,-1.3449184894561768,0.6623292565345764
182316,0,0,0,0,-1.3329492807388306,0.6460256576538086
182326,0,0,0,0,-1.3475496768951416,0.660062313079834
182336,0,0,0,0,-1.3450818061828613,0.6624152660369873
182346,0,0,0,0,-1.339474081993103,0.6665831804275513
182356,0,0,0,0,-1.3430522680282593,0.6748274564743042
182366,0,0,0,0,-1.3373745679855347,0.6714373826980591
182376,0,0,0,0,-1.336966633796692,0.6701201796531677
182386,0,0,0,0,-1.343990445137024,0.6770315766334534
182396,0,0,0,0,-1.3363505601882935,0.6725000143051147
182406,0,0,0,0,-1.3389630317687988,0.6759675741195679
182416,0,0,0,0,-1.3412965536117554,0.6796216368675232
182426,0,0,0,0,-1.336719274520874,0.6737218499183655
182436,0,0,0,0,-1.335294246673584,0.6728046536445618
182446,0,0,0,0,-1.3335996866226196,0.6721535325050354
182456,0,0,0,0,-1.3322296142578125,0.6719436049461365
182466,0,0,0,0,-1.3304067850112915,0.6709942817687988
182476,0,0,0,0,-1.3298523426055908,0.6726710200309753
182486,0,0,0,0,-1.3272557258605957,0.6705618500709534
182496,0,0,0,0,-1.3259180784225464,0.6683101654052734
182506,0,0,0,0,-1.323523998260498,0.6683701276779175
182516,0,0,0,0,-1.3232828378677368,0.6696988940238953
182526,0,0,0,0,-1.321398377418518,0.6691334247589111
182536,0,0,0,0,-1.3213269710540771,0.6690313816070557
182546,0,0,0,0,-1.3209422826766968,0.668332576751709
182556,0,0,0,0,-1.3202190399169922,0.6680535674095154
182566,0,0,0,0,-1.319445252418518,0.6678383350372314
182576,0,0,0,0,-1.3186084032058716,0.6671714186668396
182586,0,0,0,0,-1.3175392150878906,0.668088436126709
182596,0,0,0,0,-1.3171100616455078,0.6692617535591125
182606,0,0,0,0,-1.3142491579055786,0.6692742705345154
182616,0,0,0,0,-1.3125686645507812,0.668358564376831
182626,0,0,0,0,-1.307700276374817,0.6729949712753296
182636,0,0,0,0,-1.3050068616867065,0.6836667656898499
182646,0,0,0,0,-1.2979722023010254,0.7073985934257507
182656,0,0,0,0,-1.2996830940246582,0.7197927832603455
182666,0,0,0,0,-1.2957957983016968,0.7321121096611023
182676,0,0,0,0,-1.2854984998703003,0.7339587807655334
182686,0,0,0,0,-1.2780773639678955,0.7295705676078796
182696,0,0,0,0,-1.2785892486572266,0.7239161729812622
182706,0,0,0,0,-1.2846325635910034,0.7140942811965942
182716,0,0,0,0,-1.2872328758239746,0.7034191489219666
182726,0,0,0,0,-1.2839781045913696,0.6973403096199036
182736,0,0,0,0,-1.281957983970642,0.6978580951690674
182746,0,0,0,0,-1.280988097190857,0.6990568041801453
